"X1","species","year","q50","q95"
1,"REKN",1997,5,7
2,"RUTU",1997,4,7
3,"REKN",1998,5,7
4,"RUTU",1998,4,7
5,"REKN",1999,5,7
6,"RUTU",1999,4,7
7,"REKN",2000,5,7
8,"RUTU",2000,4,7
9,"REKN",2001,5,7
10,"RUTU",2001,4,7
11,"REKN",2002,5,7
12,"RUTU",2002,4,7
13,"REKN",2003,5,7
14,"RUTU",2003,4,7
15,"REKN",2004,5,7
16,"RUTU",2004,4,7
17,"REKN",2005,4,8
18,"RUTU",2005,4,8
19,"REKN",2006,6,8
20,"RUTU",2006,5,7
21,"REKN",2007,5,7
22,"RUTU",2007,4,7
23,"REKN",2008,5,8
24,"RUTU",2008,5,8
25,"REKN",2009,4,7
26,"RUTU",2009,4,7
27,"REKN",2010,5,7
28,"RUTU",2010,5,7
29,"REKN",2011,5,7
30,"RUTU",2011,4,7
31,"REKN",2012,4,6
32,"RUTU",2012,4,7
33,"REKN",2013,5,7
34,"RUTU",2013,5,7
35,"REKN",2014,5,7
36,"RUTU",2014,4,7
37,"REKN",2015,5,7
38,"RUTU",2015,4,7
39,"REKN",2016,3,7
40,"RUTU",2016,3,7
41,"REKN",2017,4,7
42,"RUTU",2017,4,8
43,"REKN",2018,4,7
44,"RUTU",2018,5,7
