"year","wmin","wmax","p","b","start","stop","mean.rate"
1,"98.9 ( 96.3 , 101.6 )","160.7 ( 153.8 , 168.7 )","24 ( 23 , 25.1 )","7.3 ( 5.3 , 9.8 )","18.7 ( 16.6 , 20.3 )","27.3 ( 25.9 , 28.9 )","4.1 ( 3.1 , 5.2 )"
2,"98.9 ( 97.8 , 100.1 )","164.3 ( 157.6 , 173.2 )","23.4 ( 22.8 , 24.3 )","9.6 ( 7.8 , 11.6 )","19.7 ( 19 , 20.3 )","26.1 ( 25.1 , 27.3 )","5.8 ( 5.1 , 6.5 )"
3,"97.6 ( 95.4 , 99.4 )","154.5 ( 138.2 , 167.8 )","22.4 ( 19.2 , 25.1 )","4.6 ( 3.1 , 8.2 )","13.4 ( 10.1 , 16.3 )","26.1 ( 21.8 , 29.4 )","2.6 ( 2.1 , 3.7 )"
4,"99.5 ( 93.9 , 105.2 )","162.4 ( 149.9 , 177 )","22.6 ( 20.7 , 25 )","7.4 ( 4.3 , 12.4 )","17.4 ( 13.9 , 19.8 )","25.7 ( 23 , 28.9 )","4.5 ( 2.7 , 7.1 )"
5,"99.9 ( 93.7 , 106.8 )","160.8 ( 148.9 , 173.2 )","24.6 ( 22.3 , 26.9 )","6.3 ( 3.9 , 10.2 )","17.9 ( 13.6 , 21.6 )","28.3 ( 25.5 , 31.1 )","3.4 ( 2.3 , 4.9 )"
6,"101.5 ( 96 , 107.7 )","164.5 ( 155.4 , 178.2 )","25 ( 23.3 , 26.7 )","9 ( 5.5 , 15.1 )","20.5 ( 17.2 , 23.2 )","28.1 ( 26.2 , 30.4 )","4.9 ( 3.4 , 7 )"
7,"97.2 ( 90.3 , 102.8 )","158.5 ( 145.1 , 169.9 )","24.9 ( 22 , 27.7 )","4.4 ( 2.9 , 6.7 )","14.9 ( 9.6 , 19.2 )","29 ( 25.5 , 32.3 )","2.4 ( 1.8 , 3.2 )"
8,"101.7 ( 98.1 , 104.7 )","161.3 ( 153.2 , 174.7 )","20.5 ( 18.6 , 23.2 )","8 ( 3.5 , 14.9 )","15.7 ( 10.7 , 18.3 )","23.2 ( 20.8 , 27 )","5 ( 2.7 , 8.7 )"
9,"101.5 ( 95.9 , 108.6 )","164.6 ( 155.4 , 177.9 )","24.1 ( 21.5 , 26.4 )","8.4 ( 4.5 , 14.4 )","19.2 ( 14.3 , 22.9 )","27.2 ( 24.5 , 29.8 )","4.7 ( 3 , 7.2 )"
10,"99.7 ( 93.7 , 106.4 )","162 ( 152.7 , 173 )","25.5 ( 23.5 , 27.4 )","8.9 ( 4.9 , 15.4 )","20.6 ( 16.4 , 23.9 )","28.6 ( 26.4 , 31.1 )","4.6 ( 2.9 , 7.3 )"
11,"98.4 ( 92.6 , 104 )","159.7 ( 146.2 , 172.4 )","23.4 ( 20.9 , 26.3 )","7.8 ( 4.2 , 14.1 )","18.1 ( 14.2 , 21 )","26.5 ( 23.1 , 30.3 )","4.4 ( 2.5 , 7.6 )"
12,"98.9 ( 92.6 , 104.8 )","159 ( 146.1 , 170.9 )","25.4 ( 23 , 27.5 )","7.3 ( 4.5 , 11.6 )","19.5 ( 15.7 , 22.8 )","28.9 ( 25.9 , 31.5 )","3.7 ( 2.6 , 5.3 )"
13,"98.5 ( 93.4 , 103.1 )","162.4 ( 151.4 , 175 )","24.9 ( 22.9 , 27 )","7.1 ( 4.6 , 10.5 )","19.1 ( 15.5 , 21.8 )","28.4 ( 26 , 31 )","4 ( 2.8 , 5.5 )"
14,"98.1 ( 91 , 104.6 )","158.7 ( 141.6 , 172 )","24.1 ( 20.9 , 27.2 )","5.9 ( 3 , 9.8 )","16.6 ( 9.8 , 20.7 )","27.7 ( 23.6 , 31.6 )","3.3 ( 1.7 , 5.2 )"
15,"96.1 ( 91.4 , 100.1 )","159.3 ( 146.5 , 171.6 )","23.9 ( 21.9 , 25.8 )","7.9 ( 5 , 12 )","18.8 ( 16.1 , 20.9 )","27 ( 24.4 , 29.7 )","4.5 ( 3.1 , 6.3 )"
16,"100.4 ( 94.1 , 107.9 )","159.6 ( 144.6 , 172.7 )","24.9 ( 22.1 , 27.6 )","6.6 ( 2.3 , 12.5 )","17.5 ( 5.3 , 22.6 )","28.3 ( 24.7 , 31.8 )","3.4 ( 1.4 , 6.1 )"
17,"99.8 ( 93.1 , 106.8 )","158.1 ( 139.5 , 171.6 )","25.7 ( 23 , 28.7 )","7 ( 2.6 , 13.6 )","18.5 ( 8 , 23.2 )","29.2 ( 25.7 , 33.2 )","3.5 ( 1.4 , 6.7 )"
18,"101.6 ( 94.8 , 112.5 )","162.9 ( 151.3 , 176.4 )","22.9 ( 19.5 , 26.4 )","3.5 ( 1.3 , 7 )","9.6 ( 1 , 18.1 )","25.3 ( 16.3 , 29.9 )","2.2 ( 1.3 , 3.6 )"
19,"98.1 ( 92.9 , 102.7 )","163.3 ( 151 , 179.3 )","22.2 ( 20.6 , 23.9 )","7.7 ( 4.7 , 12.1 )","17.4 ( 14.4 , 19.6 )","25.2 ( 23.2 , 27.6 )","4.9 ( 3.2 , 7.3 )"
20,"95.3 ( 90.6 , 99.1 )","157.6 ( 147.4 , 169.1 )","21.7 ( 20 , 23.4 )","8.9 ( 6 , 13.9 )","17.7 ( 16 , 19.2 )","24.3 ( 21.9 , 26.7 )","5.4 ( 4.2 , 7.6 )"
21,"96.5 ( 92.3 , 100.2 )","162.2 ( 154.3 , 172.6 )","25.2 ( 24.1 , 26.5 )","10 ( 7.1 , 14 )","21.3 ( 19.5 , 22.8 )","28 ( 26.5 , 29.8 )","5.6 ( 4.4 , 7.2 )"
22,"99 ( 94.3 , 104 )","162.5 ( 152.5 , 175.5 )","22.9 ( 21.1 , 24.8 )","8.1 ( 5 , 12.6 )","18.2 ( 15.1 , 20.5 )","25.9 ( 23.6 , 28.4 )","4.8 ( 3.3 , 6.9 )"
